name,cost,weight,isMagical,shortDesc,longDesc,itemType,weaponClass,weaponType,wieldType,damageS,damageM,damageType,critMult,critMin,special,armorType,acBonus,maxDex,checkPenalty,spellFailure
Manacles,1500,2,FALSE,,"Manacles can bind a Medium creature. A manacled creature can use the Escape Artist skill to slip free (DC 30, or DC 35 for masterwork manacles). Breaking the manacles requires a Strength check (DC 26, or DC 28 for masterwork manacles). Manacles have hardness 10 and 10 hit points. Most manacles have locks; add the cost of the lock you want to the cost of the manacles. For the same cost, you can buy manacles for a Small creature. For a Large creature, manacles cost 10 times the indicated amount, and for a Huge creature, 100 times the indicated amount. Gargantuan, Colossal, Tiny, Diminutive, and Fine creatures can be held only by specially made manacles, which cost at least 100 times the indicated amount.",gear,,,,,,,,,,,,,,
Manacles,5000,2,FALSE,masterwork,"Manacles can bind a Medium creature. A manacled creature can use the Escape Artist skill to slip free (DC 30, or DC 35 for masterwork manacles). Breaking the manacles requires a Strength check (DC 26, or DC 28 for masterwork manacles). Manacles have hardness 10 and 10 hit points. Most manacles have locks; add the cost of the lock you want to the cost of the manacles. For the same cost, you can buy manacles for a Small creature. For a Large creature, manacles cost 10 times the indicated amount, and for a Huge creature, 100 times the indicated amount. Gargantuan, Colossal, Tiny, Diminutive, and Fine creatures can be held only by specially made manacles, which cost at least 100 times the indicated amount.",gear,,,,,,,,,,,,,,
Mirror,1000,0.5,FALSE,small steel,,gear,,,,,,,,,,,,,,
Tankard,2,1,FALSE,clay,,gear,,,,,,,,,,,,,,
Oil,10,1,FALSE,1 pt. flask,"A pint of oil burns for 6 hours in a lantern or lamp. You can also use a flask of oil as a splash weapon. Use the rules for alchemist's fire (see Special Substances and Items on Table: Goods and Services), except that it takes a full-round action to prepare a flask with a fuse. Once it is thrown, there is a 50% chance of the flask igniting successfully. You can pour a pint of oil on the ground to cover an area 5
feet square, provided that the surface is smooth. If lit, the oil
burns for 2 rounds and deals 1d3 points of fire damage to
each creature in the area.",gear,,,,,,,,,,,,,,
Paper,40,0,FALSE,sheet,,gear,,,,,,,,,,,,,,
Parchment,20,0,FALSE,sheet,,gear,,,,,,,,,,,,,,
Pick,3000,10,FALSE,miner's,"If a miner's pick is used in combat, treat it as a two-handed improvised weapon that deals piercing damage equal to that of a heavy pick of its size.",gear,,,,,,,,,,,,,,
Pitcher,2,5,FALSE,clay,,gear,,,,,,,,,,,,,,
Piton,10,0.5,FALSE,,,gear,,,,,,,,,,,,,,
Pole,5,8,FALSE,10 ft.,,gear,,,,,,,,,,,,,,
Pot,80,4,FALSE,iron,,gear,,,,,,,,,,,,,,
Pouch,100,0.5,FALSE,belt (empty),,gear,,,,,,,,,,,,,,
Ram,1000,20,FALSE,portable,"This iron-shod wooden beam gives you a +2 circumstance bonus on Strength checks made to break open a door and allows a second person to help, automatically increasing your bonus by 2.",gear,,,,,,,,,,,,,,
Rations,50,1,FALSE,trail (per day),,gear,,,,,,,,,,,,,,
Rope,100,10,FALSE,hemp (50 ft.),This rope has 2 hit points and can be burst with a DC 23 Strength check.,gear,,,,,,,,,,,,,,
Rope,1000,5,FALSE,silk (50 ft.),This rope has 4 hit points and can be burst with a DC 24 Strength check.,gear,,,,,,,,,,,,,,
Sack,10,0.5,FALSE,empty,,gear,,,,,,,,,,,,,,
Sealing wax,100,1,FALSE,,,gear,,,,,,,,,,,,,,
Sewing needle,50,0,FALSE,,,gear,,,,,,,,,,,,,,
Shovel,200,8,FALSE,,"If a shovel is used in combat, treat it as a one-handed improvised weapon that deals bludgeoning damage equal to that of a club of its size.",gear,,,,,,,,,,,,,,
Signal whistle,80,0,FALSE,,,gear,,,,,,,,,,,,,,
Signet ring,500,0,FALSE,,,gear,,,,,,,,,,,,,,
Sledge,100,10,FALSE,,,gear,,,,,,,,,,,,,,
Soap,50,1,FALSE,per lb.,,gear,,,,,,,,,,,,,,
Spyglass,100000,1,FALSE,,"Objects viewed through a spyglass are magnified to twice their size. Characters using a spyglass take a –1 penalty on Perception skill checks per 20 feet of distance to the target, if the target is visible.",gear,,,,,,,,,,,,,,
Tent,1000,20,FALSE,,,gear,,,,,,,,,,,,,,
Torch,1,1,FALSE,,"A torch burns for 1 hour, shedding normal light in a 20-foot radius and increasing the light level by one step for an additional 20 feet beyond that area (darkness becomes dim light and dim light becomes normal light). A torch does not increase the light level in normal light or bright light. If a torch is used in combat, treat it as a one-handed improvised weapon that deals bludgeoning damage equal to that of a gauntlet of its size, plus 1 point of fire damage.",gear,,,,,,,,,,,,,,
Vial,100,0,FALSE,ink or potion (empty),A vial is made out of glass or steel and holds 1 ounce of liquid.,gear,,,,,,,,,,,,,,
Water clock,100000,200,FALSE,,"This large, bulky contrivance gives the time accurately to within half an hour per day since it was last set. It requires a source of water, and it must be kept still because it marks time by the regulated flow of droplets of water.",gear,,,,,,,,,,,,,,
Waterskin,100,4,FALSE,,,gear,,,,,,,,,,,,,,
Whetstone,2,1,FALSE,,,gear,,,,,,,,,,,,,,
Acid,1000,1,FALSE,flask,You can throw a flask of acid as a splash weapon. Treat this attack as a ranged touch attack with a range increment of 10 feet. A direct hit deals 1d6 points of acid damage. Every creature within 5 feet of the point where the acid hits takes 1 point of acid damage from the splash.,gear,,,,,,,,,,,,,,
Alchemist's fire,2000,1,FALSE,flask,"You can throw a flask of alchemist's fire as a splash weapon. Treat this attack as a ranged touch attack with a range increment of 10 feet. A direct hit deals 1d6 points of fire damage. Every creature within 5 feet of the point where the flask hits takes 1 point of fire damage from the splash. On the round following a direct hit, the target takes an additional 1d6 points of damage. If desired, the target can use a full-round action to attempt to extinguish the flames before taking this additional damage. Extinguishing the flames requires a DC 15 Reflex save. Rolling on the ground provides the target a +2 bonus on the save. Leaping into a lake or magically extinguishing the flames automatically smothers the fire.",gear,,,,,,,,,,,,,,
Antitoxin,5000,0,FALSE,vial,"If you drink a vial of antitoxin, you get a +5 alchemical bonus on Fortitude saving throws against poison for 1 hour.",gear,,,,,,,,,,,,,,
Everburning torch,11000,1,FALSE,,"This otherwise normal torch has a continual flame spell cast on it. This causes it to shed light like an ordinary torch, but it does not emit heat or deal fire damage if used as a weapon.",gear,,,,,,,,,,,,,,
Holy water,2500,1,FALSE,flask,"Holy water damages undead creatures and evil outsiders almost as if it were acid. A flask of holy water can be thrown as a splash weapon. Treat this attack as a ranged touch attack with a range increment of 10 feet. A flask breaks if thrown against the body of a corporeal creature, but to use it against an incorporeal creature, you must open the flask and pour the holy water out onto the target. Thus, you can douse an incorporeal creature with holy water only if you are adjacent to it. Doing so is a ranged touch attack that does not provoke attacks of opportunity. A direct hit by a flask of holy water deals 2d4 points of damage to an undead creature or an evil outsider. Each such creature within 5 feet of the point where the flask hits takes 1 point of damage from the splash. Temples to good deities sell holy water at cost (making no profit). Holy water is made using the bless water spell.",gear,,,,,,,,,,,,,,
Smokestick,2000,0.5,FALSE,,"This alchemically treated wooden stick instantly creates thick, opaque smoke when burned. The smoke fills a 10-foot cube (treat the effect as a fog cloud spell, except that a moderate or stronger wind dissipates the smoke in 1 round). The stick is consumed after 1 round, and the smoke dissipates naturally after 1 minute.",gear,,,,,,,,,,,,,,
Sunrod,200,1,FALSE,,"This 1-foot-long, gold-tipped, iron rod glows brightly when struck as a standard action. It sheds normal light in a 30-foot radius and increases the light level by one step for an additional 30 feet beyond that area (darkness becomes dim light and dim light becomes normal light). A sunrod does not increase the light level in normal light or bright light. It glows for 6 hours, after which the gold tip is burned out and worthless.",gear,,,,,,,,,,,,,,
Tanglefoot bag,5000,4,FALSE,,"A tanglefoot bag is a small sack filled with tar, resin, and other sticky substances. When you throw a tanglefoot bag at a creature (as a ranged touch attack with a range increment of 10 feet), the bag comes apart and goo bursts out, entangling the target and then becoming tough and resilient upon exposure to air. An entangled creature takes a –2 penalty on attack rolls and a –4 penalty to Dexterity and must make a DC 15 Reflex save or be glued to the floor, unable to move. Even on a successful save, it can move only at half speed. Huge or larger creatures are unaffected by a tanglefoot bag. A flying creature is not stuck to the floor, but it must make a DC 15 Reflex save or be unable to fly (assuming it uses its wings to fly) and fall to the ground. A tanglefoot bag does not function underwater. A creature that is glued to the floor (or unable to fly) can break free by making a DC 17 Strength check or by dealing 15 points of damage to the goo with a slashing weapon. A creature trying to scrape goo off itself, or another creature assisting, does not need to make an attack roll; hitting the goo is automatic, after which the creature that hit makes a damage roll to see how much of the goo was scraped off. Once free, the creature can move (including flying) at half speed. If the entangled creature attempts to cast a spell, it must make concentration check with a DC of 15 + the spell's level or be unable to cast the spell. The goo becomes brittle and fragile after 2d4 rounds, cracking apart and losing its effectiveness. An application of universal solvent to a stuck creature dissolves the alchemical goo immediately.",gear,,,,,,,,,,,,,,
Thunderstone,3000,1,FALSE,,"You can throw this stone as a ranged attack with a range increment of 20 feet. When it strikes a hard surface (or is struck hard), it creates a deafening bang that is treated as a sonic attack. Each creature within a 10-footradius spread must make a DC 15 Fortitude save or be deafened for 1 hour. A deafened creature, in addition to the obvious effects, takes a –4 penalty on initiative and has a 20% chance to miscast and lose any spell with a verbal component that it tries to cast. Since you don't need to hit a specific target, you can simply aim at a particular 5-foot square. Treat the target square as AC 5.",gear,,,,,,,,,,,,,,
Tindertwig,100,0,FALSE,,"The alchemical substance on the end of this small, wooden stick ignites when struck against a rough surface. Creating a flame with a tindertwig is much faster than creating a flame with flint and steel (or a magnifying glass) and tinder. Lighting a torch with a tindertwig is a standard action (rather than a full-round action), and lighting any other fire with one is at least a standard action.",gear,,,,,,,,,,,,,,
Alchemist's lab,20000,40,FALSE,,"This lab is used for making alchemical items, and provides a +2 circumstance bonus on Craft (alchemy) checks. It has no bearing on the costs related to the Craft (alchemy) skill. Without this lab, a character with the Craft (alchemy) skill is assumed to have enough tools to use the skill but not enough to get the +2 bonus that the lab provides.",gear,,,,,,,,,,,,,,
Artisan's tools,500,5,FALSE,,"These special tools include the items needed to pursue any craft. Without them, you have to use improvised tools (–2 penalty on Craft checks), if you can do the job at all.",gear,,,,,,,,,,,,,,
Artisan's tools,5500,5,FALSE,masterwork,"These tools serve the same purpose as artisan's tools, but masterwork artisan's tools are the perfect tools for the job, so you get a +2 circumstance bonus on Craft checks made with them.",gear,,,,,,,,,,,,,,
Climber's kit,8000,5,FALSE,,"These crampons, pitons, ropes, and tools give you a +2 circumstance bonus on Climb checks.",gear,,,,,,,,,,,,,,
Disguise kit,5000,8,FALSE,,The kit is the perfect tool for disguise and provides a +2 circumstance bonus on Disguise checks. A disguise kit is exhausted after 10 uses.,gear,,,,,,,,,,,,,,
Healer's kit,5000,1,FALSE,,This collection of bandages and herbs provides a +2 circumstance bonus on Heal checks. A healer's kit is exhausted after 10 uses.,gear,,,,,,,,,,,,,,
Holly and mistletoe,0,0,FALSE,,Druids commonly use these plants as divine focuses when casting spells.,gear,,,,,,,,,,,,,,
Holy symbol,100,0,FALSE,wooden,A holy symbol focuses positive energy and is used by good clerics and paladins (or by neutral clerics who want to cast good spells or channel positive energy). Each religion has its own holy symbol. Unholy Symbols: An unholy symbol is like a holy symbol except that it focuses negative energy and is used by evil clerics (or by neutral clerics who want to cast evil spells or channel negative energy).,gear,,,,,,,,,,,,,,
Holy symbol,2500,1,FALSE,silver,A holy symbol focuses positive energy and is used by good clerics and paladins (or by neutral clerics who want to cast good spells or channel positive energy). Each religion has its own holy symbol. Unholy Symbols: An unholy symbol is like a holy symbol except that it focuses negative energy and is used by evil clerics (or by neutral clerics who want to cast evil spells or channel negative energy).,gear,,,,,,,,,,,,,,
Magnifying glass,10000,0,FALSE,,"This simple lens allows a closer look at small objects. It is also useful as a substitute for flint and steel when starting fires. Lighting a fire with a magnifying glass requires bright light, such as sunlight to focus, tinder to ignite, and at least a full-round action. A magnifying glass grants a +2 circumstance bonus on Appraise checks involving any item that is small or highly detailed.",gear,,,,,,,,,,,,,,
Musical instrument,500,3,FALSE,common,A masterwork instrument grants a +2 circumstance bonus on Perform checks involving its use.,gear,,,,,,,,,,,,,,
Musical instrument,10000,3,FALSE,masterwork,A masterwork instrument grants a +2 circumstance bonus on Perform checks involving its use.,gear,,,,,,,,,,,,,,
Scale,200,1,FALSE,merchant's,"A merchant's scale grants a +2 circumstance bonus on Appraise checks involving items that are valued by weight, including anything made of precious metals.",gear,,,,,,,,,,,,,,
Spell component pouch,500,2,FALSE,,"A spellcaster with a spell component pouch is assumed to have all the material components and focuses needed for spellcasting, except for those components that have a specific cost, divine focuses, and focuses that wouldn't fit in a pouch.",gear,,,,,,,,,,,,,,
Spellbook,1500,3,FALSE,wizard's (blank),"A spellbook has 100 pages of parchment, and each spell takes up one page per spell level (one page each for 0-level spells).",gear,,,,,,,,,,,,,,
Thieves' tools,3000,1,FALSE,,"This kit contains lockpicks and other tools you need to use the Disable Device skill. Without these tools, you must use improvised tools, and you take a –2 circumstance penalty on Disable Device checks.",gear,,,,,,,,,,,,,,
Thieves' tools,10000,2,FALSE,masterwork,"This kit contains extra tools and tools of better make, which grant a +2 circumstance bonus on Disable Device checks.",gear,,,,,,,,,,,,,,
Tool,5000,1,FALSE,masterwork,This well-made item is the perfect tool for the job. It grants a +2 circumstance bonus on a related skill check (if any). Bonuses provided by multiple masterwork items do not stack.,gear,,,,,,,,,,,,,,
Artisan's outfit,100,4,FALSE,,"This outfit includes a shirt with buttons, a skirt or pants with a drawstring, shoes, and perhaps a cap or hat. It may also include a belt or a leather or cloth apron for carrying tools.",clothing,,,,,,,,,,,,,,
Cleric's vestments,500,6,FALSE,,"These clothes are for performing priestly functions, not for adventuring. Cleric's vestments typically include a cassock, stole, and surplice.",clothing,,,,,,,,,,,,,,
Cold-weather outfit,800,7,FALSE,,"This outfit includes a wool coat, linen shirt, wool cap, heavy cloak, thick pants or skirt, and boots. This outfit grants a +5 circumstance bonus on Fortitude saving throws against exposure to cold weather.",clothing,,,,,,,,,,,,,,
Courtier's outfit,3000,6,FALSE,,"This outfit includes fancy, tailored clothes in whatever fashion happens to be the current style in the courts of the nobles. Anyone trying to influence nobles or courtiers while wearing street dress will have a hard time of it (–2 penalty on Charisma-based skill checks to influence such individuals). If you wear this outfit without jewelry (costing an additional 50 gp), you look like an out-of-place commoner.",clothing,,,,,,,,,,,,,,
Entertainer's outfit,300,4,FALSE,,"This set of flashy—perhaps even gaudy—clothes is for entertaining. While the outfit looks whimsical, its practical design lets you tumble, dance, walk a tightrope, or just run (if the audience turns ugly).",clothing,,,,,,,,,,,,,,
Explorer's outfit,1000,8,FALSE,,"This set of clothes is for someone who never knows what to expect. It includes sturdy boots, leather breeches or a skirt, a belt, a shirt (perhaps with a vest or jacket), gloves, and a cloak. Rather than a leather skirt, a leather overtunic may be worn over a cloth skirt. The clothes have plenty of pockets (especially the cloak). The outfit also includes any extra accessories you might need, such as a scarf or a wide-brimmed hat.",clothing,,,,,,,,,,,,,,
Monk's outfit,500,2,FALSE,,"This simple outfit includes sandals, loose breeches, and a loose shirt, and is bound together with sashes. The outfit is designed to give you maximum mobility, and it's made of high-quality fabric. You can conceal small weapons in pockets hidden in the folds, and the sashes are strong enough to serve as short ropes.",clothing,,,,,,,,,,,,,,
Noble's outift,7500,10,FALSE,,These clothes are designed specifically to be expensive and gaudy. Precious metals and gems are worked into the clothing. A would-be noble also needs a signet ring and jewelry (worth at least 100 gp) to accessorize this outfit.,clothing,,,,,,,,,,,,,,
Peasant's outfit,10,2,FALSE,,"This set of clothes consists of a loose shirt and baggy breeches, or a loose shirt and skirt or overdress. Cloth wrappings are used for shoes.",clothing,,,,,,,,,,,,,,
Royal outfit,20000,15,FALSE,,"This is just the clothing, not the royal scepter, crown, ring, and other accoutrements. Royal clothes are ostentatious, with gems, gold, silk, and fur in abundance.",clothing,,,,,,,,,,,,,,
Scholar's ourfit,500,6,FALSE,,"Perfect for a scholar, this outfit includes a robe, a belt, a cap, soft shoes, and possibly a cloak.",clothing,,,,,,,,,,,,,,
Traveler's outift,100,5,FALSE,,"This set of clothes consists of boots, a wool skirt or breeches, a sturdy belt, a shirt (perhaps with a vest or jacket), and an ample cloak with a hood.",clothing,,,,,,,,,,,,,,
Bit and bridle,200,1,FALSE,,,stable,,,,,,,,,,,,,,
Dog,2500,,FALSE,guard,,stable,,,,,,,,,,,,,,
Dog,15000,,FALSE,riding,"This Medium dog is specially trained to carry a Small humanoid rider. It is brave in combat like a wartrained horse. Due to its smaller stature, you take no damage when you fall from a riding dog.",stable,,,,,,,,,,,,,,
Donkey,800,,FALSE,,"Donkeys and mules are stolid in the face of danger, hardy, surefooted, and capable of carrying heavy loads over vast distances. Unlike a horse, a donkey or a mule is willing (though not eager) to enter dungeons and other strange or threatening places.",stable,,,,,,,,,,,,,,
Feed,2,,FALSE,,"Horses, donkeys, mules, and ponies can graze to sustain themselves, but providing feed for them is better. If you have a riding dog, you have to feed it meat.",stable,,,,,,,,,,,,,,
Horse,20000,,FALSE,heavy,"A horse is suitable as a mount for a human, dwarf, elf, half-elf, or half-orc. A pony is smaller than a horse and is a suitable mount for a gnome or halfling. A combat-trained horse can be ridden into combat without danger. See the Handle Animal skill for a list of tricks known by horses and ponies with combat training.",stable,,,,,,,,,,,,,,
Horse,30000,,FALSE,heavy (combat trained),"A horse is suitable as a mount for a human, dwarf, elf, half-elf, or half-orc. A pony is smaller than a horse and is a suitable mount for a gnome or halfling. A combat-trained horse can be ridden into combat without danger. See the Handle Animal skill for a list of tricks known by horses and ponies with combat training.",stable,,,,,,,,,,,,,,
Horse,7500,,FALSE,light,"A horse is suitable as a mount for a human, dwarf, elf, half-elf, or half-orc. A pony is smaller than a horse and is a suitable mount for a gnome or halfling. A combat-trained horse can be ridden into combat without danger. See the Handle Animal skill for a list of tricks known by horses and ponies with combat training.",stable,,,,,,,,,,,,,,
Horse,11000,,FALSE,light (combat trained),"A horse is suitable as a mount for a human, dwarf, elf, half-elf, or half-orc. A pony is smaller than a horse and is a suitable mount for a gnome or halfling. A combat-trained horse can be ridden into combat without danger. See the Handle Animal skill for a list of tricks known by horses and ponies with combat training.",stable,,,,,,,,,,,,,,
Pony,3,,FALSE,,,stable,,,,,,,,,,,,,,
Pony,4500,,FALSE,combat trained,,stable,,,,,,,,,,,,,,
Saddle,2000,30,FALSE,military,"This saddle braces the rider, providing a +2 circumstance bonus on Ride checks related to staying in the saddle. If you're knocked unconscious while in a military saddle, you have a 75% chance to stay in the saddle.",stable,,,,,,,,,,,,,,
Saddle,500,15,FALSE,pack,"A pack saddle holds gear and supplies, but not a rider. It holds as much gear as the mount can carry.",stable,,,,,,,,,,,,,,
Saddle,1000,25,FALSE,riding,"If you are knocked unconcious while in a riding saddle, you have a 50% chance to stay in the saddle",stable,,,,,,,,,,,,,,
Saddle,6000,40,FALSE,military (exotic),"This saddle braces the rider, providing a +2 circumstance bonus on Ride checks related to staying in the saddle. If you're knocked unconscious while in a military saddle, you have a 75% chance to stay in the saddle. An exotic saddle is designed for an unusual mount.",stable,,,,,,,,,,,,,,
Saddle,1500,20,FALSE,pack (exotic),"A pack saddle holds gear and supplies, but not a rider. It holds as much gear as the mount can carry. An exotic saddle is designed for an unusual mount.",stable,,,,,,,,,,,,,,
Saddle,3000,30,FALSE,riding (exotic),"If you are knocked unconcious while in a riding saddle, you have a 50% chance to stay in the saddle. An exotic saddle is designed for an unusual mount.",stable,,,,,,,,,,,,,,
Saddlebags,400,8,FALSE,,,stable,,,,,,,,,,,,,,
Barding,0,0,FALSE,,"Barding is a type of armor that covers the head, neck, chest, body, and possibly legs of a horse or other mount. Barding made of medium or heavy armor provides better protection than light barding, but at the expense of speed. Barding can be made of any of the armor types found on Table: Armor and Shields. Armor for a horse (a Large nonhumanoid creature) costs four times as much as human armor (a Medium humanoid creature) and also weighs twice as much (see Table: Armor for Unusual Creatures). If the barding is for a pony or other Medium mount, the cost is only double, and the weight is the same as for Medium armor worn by a humanoid. Medium or heavy barding slows a mount that wears it, as shown on the table below. Flying mounts can't fly in medium or heavy barding. Removing and fitting barding takes five times as long as the figures given on Table: Donning Armor. A barded animal cannot be used to carry any load other than a rider and normal saddlebags.",stable,,,,,,,,,,,,,,
Carriage,10000,600,FALSE,,"This four-wheeled vehicle can transport as many as four people within an enclosed cab, plus two drivers. In general, two horses (or other beasts of burden) draw it. A carriage comes with the harness needed to pull it.",stable,,,,,,,,,,,,,,
Cart,1500,200,FALSE,,This two-wheeled vehicle can be drawn by a single horse (or other beast of burden). It comes with a harness.,stable,,,,,,,,,,,,,,
Galley,3000000,,FALSE,,"This three-masted ship has 70 oars on either side and requires a total crew of 200. A galley is 130 feet long and 20 feet wide, and can carry 150 tons of cargo or 250 soldiers. For 8,000 gp more, it can be fitted with a ram and castles with firing platforms fore, aft, and amidships. This ship cannot make sea voyages and sticks to the coast. It moves about 4 miles per hour when being rowed or under sail.",boat,,,,,,,,,,,,,,
Keelboat,300000,,FALSE,,"This 50- to 75-foot-long ship is 15 to 20 feet wide and has a few oars to supplement its single mast with a square sail. It has a crew of 8 to 15 and can carry 40 to 50 tons of cargo or 100 soldiers. It can make sea voyages, as well as sail down rivers (thanks to its flat bottom). It moves about 1 mile per hour.",boat,,,,,,,,,,,,,,
Longship,1000000,,FALSE,,"This 75-foot-long ship with 40 oars requires a total crew of 50. It has a single mast and a square sail, and it can carry 50 tons of cargo or 120 soldiers. A longship can make sea voyages. It moves about 3 miles per hour when being rowed or under sail.",boat,,,,,,,,,,,,,,
Rowboat,5000,100,FALSE,,This 8- to 12-foot-long boat with two oars holds two or three Medium passengers. It moves about 1-1/2 miles per hour.,boat,,,,,,,,,,,,,,
Oar,200,10,FALSE,,,boat,,,,,,,,,,,,,,
Sailing Ship,1000000,,FALSE,,"This large, seaworthy ship is 75 to 90 feet long and 20 feet wide, and has a crew of 20. It can carry 150 tons of cargo. It has square sails on its two masts and can make sea voyages. It moves about 2 miles per hour.",boat,,,,,,,,,,,,,,
Sled,2000,300,FALSE,,"This is a wagon on runners for snow and ice travel. In general, two horses (or other beasts of burden) draw it. A sled comes with the harness needed to pull it.",stable,,,,,,,,,,,,,,
Wagon,3500,400,FALSE,,"A four-wheeled, open vehicle for transporting heavy loads. Two horses (or other beasts of burden) must draw it. A wagon comes with the harness needed to pull it.",stable,,,,,,,,,,,,,,
